Zip_Code,County,,
15001,Beaver,,
15003,Beaver,,
15004,Washington,,
15005,Beaver,,
15006,Allegheny,,
15007,Allegheny,,
15009,Beaver,,
15010,Beaver,,
15012,Fayette,,
15014,Allegheny,,
15015,Allegheny,,
15017,Allegheny,,
15018,Allegheny,,
15019,Washington,,
15020,Allegheny,,
15021,Washington,,
15022,Washington,,
15024,Allegheny,,
15025,Allegheny,,
15026,Beaver,,
15027,Beaver,,
15028,Allegheny,,
15030,Allegheny,,
15031,Allegheny,,
15032,Allegheny,,
15033,Washington,,
15034,Allegheny,,
15035,Allegheny,,
15037,Allegheny,,
15038,Washington,,
15042,Beaver,,
15043,Beaver,,
15044,Allegheny,,
15045,Allegheny,,
15046,Allegheny,,
15047,Allegheny,,
15049,Allegheny,,
15050,Beaver,,
15051,Allegheny,,
15052,Beaver,,
15053,Washington,,
15054,Washington,,
15055,Washington,,
15056,Allegheny,,
15057,Washington,,
15059,Beaver,,
15060,Washington,,
15061,Beaver,,
15062,Westmoreland,,
15063,Washington,,
15064,Allegheny,,
15065,Allegheny,,
15066,Beaver,,
15067,Washington,,
15068,Westmoreland,,
15069,Westmoreland,,
15071,Allegheny,,
15072,Westmoreland,,
15074,Beaver,,
15075,Allegheny,,
15076,Allegheny,,
15077,Beaver,,
15078,Washington,,
15081,Beaver,,
15082,Allegheny,,
15083,Westmoreland,,
15084,Allegheny,,
15085,Westmoreland,,
15086,Allegheny,,
15087,Westmoreland,,
15088,Allegheny,,
15089,Westmoreland,,
15090,Allegheny,,
15091,Allegheny,,
15095,Allegheny,,
15096,Allegheny,,
15101,Allegheny,,
15102,Allegheny,,
15104,Allegheny,,
15106,Allegheny,,
15108,Allegheny,,
15110,Allegheny,,
15112,Allegheny,,
15116,Allegheny,,
15120,Allegheny,,
15122,Allegheny,,
15123,Allegheny,,
15126,Allegheny,,
15127,Allegheny,,
15129,Allegheny,,
15131,Allegheny,,
15132,Allegheny,,
15133,Allegheny,,
15134,Allegheny,,
15135,Allegheny,,
15136,Allegheny,,
15137,Allegheny,,
15139,Allegheny,,
15140,Allegheny,,
15142,Allegheny,,
15143,Allegheny,,
15144,Allegheny,,
15145,Allegheny,,
15146,Allegheny,,
15147,Allegheny,,
15148,Allegheny,,
15201,Allegheny,,
15202,Allegheny,,
15203,Allegheny,,
15204,Allegheny,,
15205,Allegheny,,
15206,Allegheny,,
15207,Allegheny,,
15208,Allegheny,,
15209,Allegheny,,
15210,Allegheny,,
15211,Allegheny,,
15212,Allegheny,,
15213,Allegheny,,
15214,Allegheny,,
15215,Allegheny,,
15216,Allegheny,,
15217,Allegheny,,
15218,Allegheny,,
15219,Allegheny,,
15220,Allegheny,,
15221,Allegheny,,
15222,Allegheny,,
15223,Allegheny,,
15224,Allegheny,,
15225,Allegheny,,
15226,Allegheny,,
15227,Allegheny,,
15228,Allegheny,,
15229,Allegheny,,
15230,Allegheny,,
15231,Allegheny,,
15232,Allegheny,,
15233,Allegheny,,
15234,Allegheny,,
15235,Allegheny,,
15236,Allegheny,,
15237,Allegheny,,
15238,Allegheny,,
15239,Allegheny,,
15240,Allegheny,,
15241,Allegheny,,
15242,Allegheny,,
15243,Allegheny,,
15244,Allegheny,,
15250,Allegheny,,
15251,Allegheny,,
15252,Allegheny,,
15253,Allegheny,,
15254,Allegheny,,
15255,Allegheny,,
15257,Allegheny,,
15258,Allegheny,,
15259,Allegheny,,
15260,Allegheny,,
15261,Allegheny,,
15262,Allegheny,,
15263,Allegheny,,
15264,Allegheny,,
15265,Allegheny,,
15267,Allegheny,,
15268,Allegheny,,
15270,Allegheny,,
15272,Allegheny,,
15274,Allegheny,,
15275,Allegheny,,
15276,Allegheny,,
15277,Allegheny,,
15278,Allegheny,,
15279,Allegheny,,
15281,Allegheny,,
15282,Allegheny,,
15283,Allegheny,,
15285,Allegheny,,
15286,Allegheny,,
15289,Allegheny,,
15290,Allegheny,,
15295,Allegheny,,
15301,Washington,,
15310,Greene,,
15311,Washington,,
15312,Washington,,
15313,Washington,,
15314,Washington,,
15315,Greene,,
15316,Greene,,
15317,Washington,,
15320,Greene,,
15321,Washington,,
15322,Greene,,
15323,Washington,,
15324,Washington,,
15325,Greene,,
15327,Greene,,
15329,Washington,,
15330,Washington,,
15331,Washington,,
15332,Washington,,
15333,Washington,,
15334,Greene,,
15336,Washington,,
15337,Greene,,
15338,Greene,,
15339,Washington,,
15340,Washington,,
15341,Greene,,
15342,Washington,,
15344,Greene,,
15345,Washington,,
15346,Greene,,
15347,Washington,,
15348,Washington,,
15349,Greene,,
15350,Washington,,
15351,Greene,,
15352,Greene,,
15353,Greene,,
15357,Greene,,
15358,Washington,,
15359,Greene,,
15360,Washington,,
15361,Washington,,
15362,Greene,,
15363,Washington,,
15364,Greene,,
15365,Washington,,
15366,Washington,,
15367,Washington,,
15368,Washington,,
15370,Greene,,
15376,Washington,,
15377,Washington,,
15378,Washington,,
15379,Washington,,
15380,Greene,,
15401,Fayette,,
15410,Fayette,,
15411,Somerset,,
15412,Washington,,
15413,Fayette,,
15415,Fayette,,
15416,Fayette,,
15417,Fayette,,
15419,Washington,,
15420,Fayette,,
15421,Fayette,,
15422,Fayette,,
15423,Washington,,
15424,Somerset,,
15425,Fayette,,
15427,Washington,,
15428,Fayette,,
15429,Washington,,
15430,Fayette,,
15431,Fayette,,
15432,Washington,,
15433,Fayette,,
